Timestamp,B01a - VWC (DIELEC/1/5TE) ,B01a - Weight (g)
2021-06-18T18:21:00,0.18957,6147.31
2021-06-18T18:24:00,0.18937,6147.8
2021-06-18T18:27:00,0.18879,6146.97
2021-06-18T18:30:00,0.18821,6146.8
2021-06-18T18:33:00,0.18801,6146.58
2021-06-18T18:36:00,0.18762,6146.5
2021-06-18T18:39:00,0.18762,6146.2
2021-06-18T18:42:00,0.18723,6146.24
2021-06-18T18:45:00,0.18664,6146.03
2021-06-18T18:48:00,0.18606,6145.61
2021-06-18T18:51:00,0.18566,6145.27
2021-06-18T18:54:00,0.18566,6145.1
2021-06-18T18:57:00,0.18566,6144.91
2021-06-18T19:00:00,0.18547,6144.81
2021-06-18T19:03:00,0.18507,6144.65
2021-06-18T19:06:00,0.18468,6144.79
2021-06-18T19:09:00,0.18449,6144.47
2021-06-18T19:12:00,0.18389,6144.3
2021-06-18T19:15:00,0.1837,6144
2021-06-18T19:18:00,0.1835,6143.95
2021-06-18T19:21:00,0.1835,6143.3
2021-06-18T19:24:00,0.1835,6143.51
2021-06-18T19:27:00,0.1833,6143.49
2021-06-18T19:30:00,0.18311,6143.64
2021-06-18T19:33:00,0.18271,6143.24
2021-06-18T19:36:00,0.18251,6142.75
2021-06-18T19:39:00,0.18212,6143.01
2021-06-18T19:42:00,0.18172,6142.33
2021-06-18T19:45:00,0.18153,6142.65
2021-06-18T19:48:00,0.18153,6142.8
2021-06-18T19:51:00,0.18153,6143.11
2021-06-18T19:54:00,0.18153,6142.48
2021-06-18T19:57:00,0.18133,6142.59
2021-06-18T20:00:00,0.18133,6142.2
2021-06-18T20:03:00,0.18133,6142.36
2021-06-18T20:06:00,0.18113,6141.98
2021-06-18T20:09:00,0.18093,6142.63
2021-06-18T20:12:00,0.18093,6142.82
2021-06-18T20:15:00,0.18073,6142.52
2021-06-18T20:18:00,0.18014,6142.04
2021-06-18T20:21:00,0.18014,6141.65
2021-06-18T20:24:00,0.17974,6141.73
2021-06-18T20:27:00,0.17974,6141.63
2021-06-18T20:30:00,0.17954,6142.12
2021-06-18T20:33:00,0.17935,6141.74
2021-06-18T20:36:00,0.17935,6140.89
2021-06-18T20:39:00,0.17954,6141.28
2021-06-18T20:42:00,0.17954,6141.08
2021-06-18T20:45:00,0.17954,6142.05
2021-06-18T20:48:00,0.17935,6142.51
2021-06-18T20:51:00,0.17935,6141.87
2021-06-18T20:54:00,0.17935,6141.63
2021-06-18T20:57:00,0.17935,6142.03
2021-06-18T21:00:00,0.17915,6141.92
2021-06-18T21:03:00,0.17895,6141.38
2021-06-18T21:06:00,0.17895,6141.09
2021-06-18T21:09:00,0.17895,6141.35
2021-06-18T21:12:00,0.17895,6141.38
2021-06-18T21:15:00,0.17895,6141.39
2021-06-18T21:18:00,0.17795,6141.18
2021-06-18T21:21:00,0.17875,6141.17
2021-06-18T21:24:00,0.17835,6141.06
2021-06-18T21:27:00,0.17795,6140.69
2021-06-18T21:30:00,0.17775,6141.07
2021-06-18T21:33:00,0.17795,6140.72
2021-06-18T21:36:00,0.17755,6140.67
2021-06-18T21:39:00,0.17735,6140.66
2021-06-18T21:42:00,0.17755,6140.37
2021-06-18T21:45:00,0.17735,6140.63
2021-06-18T21:48:00,0.17735,6140.69
2021-06-18T21:51:00,0.17755,6140.8
2021-06-18T21:54:00,0.17755,6140.62
2021-06-18T21:57:00,0.17735,6140.36
2021-06-18T22:00:00,0.17735,6139.73
2021-06-18T22:03:00,0.17735,6140.01
2021-06-18T22:06:00,0.17715,6260.41
2021-06-18T22:09:00,0.17735,6269.1
2021-06-18T22:12:00,0.17715,6252.29
2021-06-18T22:15:00,0.17735,6251.41
2021-06-18T22:18:00,0.17715,6251.08
2021-06-18T22:21:00,0.17735,6250.41
2021-06-18T22:24:00,0.17735,6249.77
2021-06-18T22:27:00,0.17695,6249.05
2021-06-18T22:30:00,0.17715,6248.7
2021-06-18T22:33:00,0.17715,6248.55
2021-06-18T22:36:00,0.17695,6247.72
2021-06-18T22:39:00,0.17655,6247.88
2021-06-18T22:42:00,0.17695,6247.37
2021-06-18T22:45:00,0.17655,6247.39
2021-06-18T22:48:00,0.17635,6246.97
2021-06-18T22:51:00,0.17675,6247.34
2021-06-18T22:54:00,0.17615,6247.49
2021-06-18T22:57:00,0.17655,6247.78
2021-06-18T23:00:00,0.17655,6247.42
2021-06-18T23:03:00,0.17615,6247.61
2021-06-18T23:06:00,0.17595,6246.99
2021-06-18T23:09:00,0.17575,6246.7
2021-06-18T23:12:00,0.17595,6246.85
2021-06-18T23:15:00,0.17575,6247.14
2021-06-18T23:18:00,0.17575,6247.38
2021-06-18T23:21:00,0.17555,6246.83
2021-06-18T23:24:00,0.17555,6246.76
2021-06-18T23:27:00,0.17555,6246.74
2021-06-18T23:30:00,0.17595,6246.89
2021-06-18T23:33:00,0.17575,6246.89
2021-06-18T23:36:00,0.17535,6247.06
2021-06-18T23:39:00,0.17535,6246.58
2021-06-18T23:42:00,0.17535,6246.74
2021-06-18T23:45:00,0.17535,6246.68
2021-06-18T23:48:00,0.17555,6246.6
2021-06-18T23:51:00,0.17535,6305.55
2021-06-18T23:54:00,0.17535,6259.06
2021-06-18T23:57:00,0.17535,6257.5
2021-06-19T00:00:00,0.17515,6256.82
2021-06-19T00:03:00,0.17535,6256.4
2021-06-19T00:06:00,0.17535,6256.05
2021-06-19T00:09:00,0.17515,6256.19
2021-06-19T00:12:00,0.17515,6255.82
2021-06-19T00:15:00,0.17535,6255.92
2021-06-19T00:18:00,0.17515,6255.9
2021-06-19T00:21:00,0.17535,6286
